dates,so2,no2,rspm,Temperature
2003-04-01,3.5657894736842106,13.31578947368421,46.80263157894737,27.29
2003-08-01,3.8974358974358974,14.08974358974359,40.14102564102564,27.25
2003-12-01,6.116279069767442,26.88372093023256,87.81395348837209,19.59
2003-02-01,2.5764705882352943,10.505882352941176,36.37647058823529,21.03
2003-01-01,2.9292929292929295,11.383838383838384,46.63636363636363,18.6
2003-07-01,2.797979797979798,11.373737373737374,33.323232323232325,27.53
2003-06-01,2.902439024390244,10.939024390243903,34.84146341463415,29.01
2003-03-01,3.4482758620689653,12.505747126436782,44.827586206896555,23.62
2003-05-01,2.8863636363636362,11.090909090909092,43.34090909090909,28.64
2003-11-01,7.166666666666667,27.5,88.5952380952381,22.17
2003-10-01,6.88135593220339,26.440677966101696,93.66101694915254,24.92
2003-09-01,3.535211267605634,13.788732394366198,39.7887323943662,26.75
2004-04-01,12.165049614112466,27.545931642778413,117.37851157662624,27.38
2004-08-01,11.399592476489016,25.03285266457681,98.78714733542321,27.16
2004-12-01,13.116869647954314,29.14254995242624,140.31539486203613,19.93
2004-02-01,13.05636261261261,30.24068693693693,121.74271396396395,21.03
2004-01-01,12.72865641025642,29.65467692307692,122.37251282051277,18.83
2004-07-01,11.663199999999998,26.473951219512188,98.97566829268291,27.44
2004-06-01,12.688403805496828,26.601247357293865,104.25915433403804,27.94
2004-03-01,12.546699134199127,28.408041125541125,120.83906926406925,26.19
2004-05-01,12.224149253731335,26.9157014925373,115.98344278606966,28.12
2004-11-01,12.588900836320192,29.614743130227,127.02706093189965,22.43
2004-10-01,12.001494023904371,26.405836653386437,113.0669123505976,24.34
2004-09-01,11.603117254528122,25.98414680648235,102.67019065776927,26.8
2005-04-01,13.104938271604937,29.87355967078185,114.64300411522633,26.62
2005-08-01,12.389260563380294,29.84295774647886,96.45950704225352,27.41
2005-12-01,13.202485501242743,31.634134217067093,136.1731565865783,19.23
2005-02-01,12.826645435244162,30.62813163481953,113.60934182590233,20.51
2005-01-01,12.672699386503076,29.34928425357874,120.46319018404908,19.07
2005-07-01,12.431203007518787,29.344642857142833,98.09586466165413,27.34
2005-06-01,12.404360753221008,28.24380574826559,102.1199207135778,28.99
2005-03-01,12.19067460317459,29.455753968253976,112.68353174603175,24.14
2005-05-01,13.116101694915244,30.113465160075318,114.81826741996234,28.22
2005-11-01,12.837201907790133,31.228139904610487,121.73131955484897,21.73
2005-10-01,12.32878048780487,28.675040650406505,105.4,24.84
2005-09-01,11.999143835616435,28.347003424657505,94.18407534246575,26.82
2006-04-01,11.39394121175761,27.630653869226165,111.98560287942412,26.83
2006-08-01,10.754594232059022,25.56854460093893,87.69617706237425,27.15
2006-12-01,11.95293434049969,30.48593840790245,126.16908773968623,19.99
2006-02-01,11.581431608788089,30.13990077958893,122.16229624379872,23.02
2006-01-01,11.341131284916157,31.602164804469265,131.05237430167597,19.96
2006-07-01,10.695539481615421,25.8222423146474,93.73839662447257,27.92
2006-06-01,10.80653206650829,26.567339667458455,97.84679334916865,28.13
2006-03-01,11.262019826517948,28.12156133828994,113.13382899628253,23.91
2006-05-01,11.408645899555,26.937317228226366,104.08137317228227,28.82
2006-11-01,11.298079161816014,28.06327124563448,111.74912689173458,22.59
2006-10-01,11.65167224080266,28.826978818283152,106.59253065774804,25.41
2006-09-01,10.752772699573397,25.546922608165733,89.5734308348568,26.42
2007-04-01,11.92218309859153,27.722585513078496,106.62877263581488,27.72
2007-08-01,10.741429970617023,26.19412340842316,87.01273261508325,27.37
2007-12-01,12.226629680998599,31.281044845122572,130.41701340730467,19.65
2007-02-01,12.462951167728207,29.66401273885348,108.48301486199576,20.97
2007-01-01,12.707567567567557,30.907081081081127,129.0054054054054,19.24
2007-07-01,10.905939086294394,25.76126903553297,85.64010152284264,27.66
2007-06-01,11.418661787767887,26.396131730266585,89.340825927862,28.31
2007-03-01,12.21860119047616,28.535367063492114,109.46825396825396,23.52
2007-05-01,12.086094538779228,27.650344194584747,103.352455254704,28.84
2007-11-01,11.872798434442236,29.920988258317106,120.66046966731898,22.4
2007-10-01,11.446041856232911,28.896906278434955,106.42129208371247,24.92
2007-09-01,11.338846350178649,26.591883614088857,88.76110260336907,26.61
2008-04-01,11.469202566452761,29.11301558203492,114.44683776351971,26.54
2008-08-01,10.54692622950819,27.11280737704922,90.40881147540983,27.0
2008-12-01,11.473982483256025,31.539258114374142,130.2746007212777,20.62
2008-02-01,11.945661874070378,30.89345562716909,129.02726822012892,19.83
2008-01-01,11.71646884272993,31.336547972304665,128.28189910979228,18.49
2008-07-01,10.846525679758306,27.89325276938571,96.28851963746223,27.5
2008-06-01,11.09671658986175,27.55846774193546,99.01900921658986,28.1
2008-03-01,11.735730858468637,29.850162412993125,120.0983758700696,24.43
2008-05-01,11.657608695652126,29.369706994328922,112.40122873345936,28.42
2008-11-01,11.448833746898258,30.905756823821413,123.00893300248138,22.51
2008-10-01,11.347557149260412,30.037113402061863,120.74899148363963,25.47
2008-09-01,10.549595375722536,28.09734104046247,90.6242774566474,26.44
2009-04-01,10.974297393970353,27.50000000000005,115.80684721512519,27.35
2009-08-01,10.020645905421,24.25755478662057,89.17935409457901,27.85
2009-12-01,11.238904899135422,29.738400576368928,137.39337175792508,20.22
2009-02-01,11.611229946524059,28.785187165775458,131.19358288770053,21.66
2009-01-01,11.650161987041045,30.012473002159904,131.9314254859611,19.79
2009-07-01,10.171126033057815,25.383264462809933,94.20506198347107,27.83
2009-06-01,10.451191765980496,25.19117009750816,108.80823401950163,28.77
2009-03-01,11.597925925925907,29.776395061728483,127.63012345679013,24.55
2009-05-01,10.382346938775493,26.77484693877554,112.38928571428572,28.71
2009-11-01,10.884082156611028,28.278369704749696,123.52182284980745,22.31
2009-10-01,11.355259026687614,27.159026687598107,118.28833071690215,25.2
2009-09-01,10.465234822451299,26.67502863688431,104.80813287514319,27.11
2010-04-01,11.162403409129416,33.146077350852885,121.2914122893688,28.4
2010-08-01,9.966481669637181,29.194969259653877,90.0870791793263,27.33
2010-12-01,11.273497741137303,34.19511917386795,137.15003252838557,19.22
2010-02-01,12.042551273390801,36.30678914318522,123.42865677183224,21.23
2010-01-01,12.425446153841023,37.73178290595446,137.7753314959809,19.15
2010-07-01,9.770555133058943,28.618691698299088,94.04772422861028,27.55
2010-06-01,10.343532448382435,30.95545290769593,103.13895699527816,28.51
2010-03-01,11.790881291838627,35.44109397278097,127.50959958949446,26.53
2010-05-01,11.078143287610976,32.319426597215745,126.94242035526807,29.19
2010-11-01,10.953830339965375,33.74231922177485,117.91807759212949,22.98
2010-10-01,10.538001171467737,31.681054419589127,111.62706796592967,25.58
2010-09-01,10.2193569330376,29.60474823736193,95.52830415230918,26.6
2011-04-01,6.771464646464646,17.464898989899,84.79722222222222,26.1
2011-08-01,5.674594594594596,15.00756756756757,68.08297297297298,27.2
2011-12-01,6.982500000000002,20.366249999999997,115.471875,19.84
2011-02-01,6.555890410958904,19.664657534246572,93.07150684931507,20.79
2011-01-01,6.628994082840237,19.555621301775155,95.46449704142012,18.32
2011-07-01,5.8643203883495145,16.35970873786409,67.77111650485438,27.6
2011-06-01,7.556386292834892,15.780685358255452,67.66043613707166,28.6
2011-03-01,6.609512195121953,17.655609756097565,88.26341463414634,24.11
2011-05-01,7.004063205417606,18.8018058690745,89.6056433408578,28.92
2011-11-01,6.804065040650404,19.251761517615186,96.78672086720869,22.84
2011-10-01,6.460144927536234,18.288405797101447,86.02487922705315,25.51
2011-09-01,6.307455012853474,16.10668380462724,68.89974293059126,26.7
2013-04-01,11.4754794520548,19.616666666666667,88.65182648401826,26.97
2013-08-01,9.77461267605634,16.376267605633807,72.84246478873239,27.22
2013-12-01,9.863604240282687,15.867455830388685,76.36943462897527,19.69
2013-02-01,10.460357142857143,20.2879081632653,93.24056122448978,21.07
2013-01-01,10.717704081632654,21.89954081632653,100.04346938775508,18.88
2013-07-01,10.04409090909091,16.97780991735537,74.74367768595042,27.5
2013-06-01,10.006814516129035,16.791693548387094,74.32798387096774,28.24
2013-03-01,10.978352059925095,20.900000000000006,89.24187265917604,24.53
2013-05-01,11.12444759206799,18.373796033994335,87.97592067988668,29.06
2013-11-01,10.524318181818183,17.09984848484849,76.3535606060606,22.18
2013-10-01,11.076702898550726,16.725579710144924,71.1608695652174,25.63
2013-09-01,9.97448559670782,16.022222222222222,72.76131687242798,26.87
2014-01-01,10.12190304,25.94137971,115.36051299999998,18.81
2014-02-01,9.134411408,24.68471986,107.33459340000002,20.35
2014-03-01,9.334489578,24.54624159,107.30542920000002,23.34
2014-04-01,9.521922155,24.47821158,104.8470338,26.91
2014-05-01,9.416317268,24.42838645,102.45400140000001,28.45
2014-06-01,8.790527967000001,23.21435964,98.61461492,29.42
2014-07-01,8.997588787,22.72672706,88.61347846,28.07
2014-08-01,8.215044843,22.29879073,89.09928351,27.42
2014-09-01,8.43583472,23.12378906,91.25679238,26.61
2014-10-01,9.271314838,24.61652711,105.31442709999999,25.38
2014-11-01,8.646173382,26.04366391,112.1085925,22.53
2014-12-01,9.099608131,26.05496922,115.9300293,19.5
2015-01-01,9.252625924,25.88567917,109.892597,19.02
2015-02-01,9.19960072,25.05386225,110.2800896,21.23
2015-03-01,8.977774067,23.82308654,104.1238533,23.52
2015-04-01,8.454570962,23.28595027,106.500759,26.52
2015-05-01,8.455006712000001,23.02124773,105.38040090000001,28.82
2015-06-01,7.929884763,21.32628162,89.67231676,28.15
2015-07-01,7.539802535,20.78499224,78.90023566,28.03
2015-08-01,7.6645167370000005,20.60262491,76.67657677,27.64
2015-09-01,7.625425311,21.79141291,86.97802402,27.04
2015-10-01,8.370018217,24.08875557,100.5499494,25.82
2015-11-01,8.897189362,26.25574395,116.5956668,22.95
2015-12-01,9.030675086,27.20591285,121.507433,20.21
